Item_Store_Key,Store,Store_Owner,Urban_Rural,Latitude,Longitude,Location_Cluster,Item_Type,Item
0,1,1,Urban,47.8761008,16.4745908,0,Electronics,Power Cord
1,1,1,Urban,47.8761008,16.4745908,0,Electronics,Phone Charger
2,1,1,Urban,47.8761008,16.4745908,0,Electronics,Ear Buds
3,1,1,Urban,47.8761008,16.4745908,0,Electronics,Mouse
4,1,1,Urban,47.8761008,16.4745908,0,Electronics,Keyboard
5,1,1,Urban,47.8761008,16.4745908,0,Grocery,Milk
6,1,1,Urban,47.8761008,16.4745908,0,Grocery,Eggs
7,1,1,Urban,47.8761008,16.4745908,0,Grocery,Cereal
8,1,1,Urban,47.8761008,16.4745908,0,Grocery,Shrimp
9,1,1,Urban,47.8761008,16.4745908,0,Grocery,Noodles
10,1,1,Urban,47.8761008,16.4745908,0,Grocery,Steak
11,1,1,Urban,47.8761008,16.4745908,0,Grocery,King Crab
12,1,1,Urban,47.8761008,16.4745908,0,Home Goods,Tape
13,1,1,Urban,47.8761008,16.4745908,0,Home Goods,Glue
14,1,1,Urban,47.8761008,16.4745908,0,Home Goods,Nails
15,1,1,Urban,47.8761008,16.4745908,0,Home Goods,Bracket
16,1,1,Urban,47.8761008,16.4745908,0,Home Goods,Brush
17,1,1,Urban,47.8761008,16.4745908,0,Home Goods,Paint
18,2,1,Urban,47.1138355,16.3204194799342,0,Electronics,Power Cord
19,2,1,Urban,47.1138355,16.3204194799342,0,Electronics,Phone Charger
20,2,1,Urban,47.1138355,16.3204194799342,0,Electronics,Ear Buds
21,2,1,Urban,47.1138355,16.3204194799342,0,Electronics,Mouse
22,2,1,Urban,47.1138355,16.3204194799342,0,Electronics,Keyboard
23,2,1,Urban,47.1138355,16.3204194799342,0,Grocery,Milk
24,2,1,Urban,47.1138355,16.3204194799342,0,Grocery,Eggs
25,2,1,Urban,47.1138355,16.3204194799342,0,Grocery,Cereal
26,2,1,Urban,47.1138355,16.3204194799342,0,Grocery,Shrimp
27,2,1,Urban,47.1138355,16.3204194799342,0,Grocery,Noodles
28,2,1,Urban,47.1138355,16.3204194799342,0,Grocery,Steak
29,2,1,Urban,47.1138355,16.3204194799342,0,Grocery,King Crab
30,2,1,Urban,47.1138355,16.3204194799342,0,Home Goods,Tape
31,2,1,Urban,47.1138355,16.3204194799342,0,Home Goods,Glue
32,2,1,Urban,47.1138355,16.3204194799342,0,Home Goods,Nails
33,2,1,Urban,47.1138355,16.3204194799342,0,Home Goods,Bracket
34,2,1,Urban,47.1138355,16.3204194799342,0,Home Goods,Brush
35,2,1,Urban,47.1138355,16.3204194799342,0,Home Goods,Paint
36,3,1,Urban,46.98194985,16.1973111680266,0,Electronics,Power Cord
37,3,1,Urban,46.98194985,16.1973111680266,0,Electronics,Phone Charger
38,3,1,Urban,46.98194985,16.1973111680266,0,Electronics,Ear Buds
39,3,1,Urban,46.98194985,16.1973111680266,0,Electronics,Mouse
40,3,1,Urban,46.98194985,16.1973111680266,0,Electronics,Keyboard
41,3,1,Urban,46.98194985,16.1973111680266,0,Grocery,Milk
42,3,1,Urban,46.98194985,16.1973111680266,0,Grocery,Eggs
43,3,1,Urban,46.98194985,16.1973111680266,0,Grocery,Cereal
44,3,1,Urban,46.98194985,16.1973111680266,0,Grocery,Shrimp
45,3,1,Urban,46.98194985,16.1973111680266,0,Grocery,Noodles
46,3,1,Urban,46.98194985,16.1973111680266,0,Grocery,Steak
47,3,1,Urban,46.98194985,16.1973111680266,0,Grocery,King Crab
48,3,1,Urban,46.98194985,16.1973111680266,0,Home Goods,Tape
49,3,1,Urban,46.98194985,16.1973111680266,0,Home Goods,Glue
